20791318_length_269_cvg_7.0_tip_1 241 269
21416659_length_702_cvg_7.0_tip_1 674 702
20755438_length_261_cvg_8.0_tip_1 238 261
21193488_length_456_cvg_7.8_tip_1 437 456
21299200_length_556_cvg_7.0_tip_1 527 556
21343988_length_607_cvg_8.0_tip_1 577 607
21276476_length_532_cvg_16.0_tip_1 511 532
21526894_length_880_cvg_7.0_tip_1 853 880
21383209_length_655_cvg_10.0_tip_1 628 655
22297836_length_4064_cvg_16.0_tip_1 4034 4064
22355396_length_4609_cvg_16.0_tip_1 4582 4609
20384202_length_208_cvg_6.0_tip_1 189 208
20640694_length_239_cvg_8.0_tip_1 219 239
