22480942_length_6297_cvg_17.4_tip_1 6278 6297
22481984_length_6316_cvg_14.1_tip_1 1 27
22483464_length_6342_cvg_14.9_tip_1 6314 6342
22484320_length_6357_cvg_13.6_tip_1 6332 6357
22485260_length_6374_cvg_15.5_tip_1 1 23
22486966_length_6405_cvg_13.7_tip_1 1 35
22488188_length_6427_cvg_15.6_tip_1 6406 6427
22489114_length_6443_cvg_16.0_tip_1 1 22
22490348_length_6465_cvg_15.8_tip_1 1 23
22494832_length_6548_cvg_14.6_tip_1 6524 6548
22496636_length_6582_cvg_17.4_tip_1 6555 6582
22499192_length_6631_cvg_15.7_tip_1 1 22
22500936_length_6664_cvg_15.1_tip_1 6643 6664
22503804_length_6719_cvg_15.4_tip_1 1 20
22505826_length_6759_cvg_15.1_tip_1 6738 6759
22507980_length_6801_cvg_14.5_tip_1 1 25
22509900_length_6841_cvg_15.2_tip_1 6818 6841
22510770_length_6858_cvg_12.0_tip_1 6837 6858
22511502_length_6873_cvg_15.9_tip_1 1 26
22512770_length_6898_cvg_15.7_tip_1 6868 6898
22515478_length_6958_cvg_15.0_tip_1 6917 6958
22518596_length_7026_cvg_15.8_tip_1 7000 7026
22520086_length_7059_cvg_16.4_tip_1 1 19
22523666_length_7138_cvg_13.5_tip_1 7114 7138
22525436_length_7175_cvg_15.3_tip_1 7157 7175
22526282_length_7195_cvg_14.5_tip_1 7164 7195
22527250_length_7218_cvg_15.1_tip_1 1 28
22529014_length_7258_cvg_17.9_tip_1 7234 7258
22531864_length_7324_cvg_16.0_tip_1 7305 7324
22532482_length_7339_cvg_12.4_tip_1 1 22
22534386_length_7385_cvg_17.1_tip_1 1 19
22536650_length_7440_cvg_15.6_tip_1 7419 7440
22538462_length_7483_cvg_15.3_tip_1 7455 7483
22540294_length_7526_cvg_14.0_tip_1 7500 7526
22542804_length_7590_cvg_14.3_tip_1 1 29
22545000_length_7644_cvg_14.0_tip_1 1 24
22545544_length_7658_cvg_13.8_tip_1 1 23
22547174_length_7700_cvg_11.9_tip_1 7671 7700
22548494_length_7737_cvg_14.7_tip_1 7708 7737
22549828_length_7771_cvg_16.1_tip_1 1 26
22552866_length_7852_cvg_15.8_tip_1 1 22
22554988_length_7911_cvg_16.2_tip_1 7879 7911
22556532_length_7954_cvg_16.0_tip_1 1 31
22558460_length_8006_cvg_15.3_tip_1 7981 8006
22562104_length_8114_cvg_14.8_tip_1 1 25
22562624_length_8129_cvg_15.4_tip_1 8107 8129
22565024_length_8203_cvg_13.4_tip_1 1 29
22566718_length_8254_cvg_16.9_tip_1 1 22
22567948_length_8292_cvg_14.3_tip_1 1 25
22571064_length_8392_cvg_15.9_tip_1 1 26
22572980_length_8454_cvg_14.7_tip_1 1 21
22574472_length_8502_cvg_14.6_tip_1 1 28
22576276_length_8560_cvg_16.0_tip_1 1 21
22578346_length_8630_cvg_17.1_tip_1 8608 8630
22580496_length_8700_cvg_15.9_tip_1 1 24
22582094_length_8760_cvg_14.4_tip_1 1 27
22582490_length_8773_cvg_12.0_tip_1 8749 8773
22584048_length_8832_cvg_13.5_tip_1 8809 8832
22586120_length_8905_cvg_14.6_tip_1 8881 8905
22588010_length_8975_cvg_16.1_tip_1 1 29
22588706_length_9001_cvg_16.4_tip_1 1 31
22589790_length_9039_cvg_16.5_tip_1 1 24
22592372_length_9136_cvg_15.7_tip_1 1 19
22593636_length_9187_cvg_17.4_tip_1 1 27
22521528_length_7091_cvg_14.5_tip_1 1 25
22522644_length_7115_cvg_16.2_tip_1 1 23
22523656_length_7137_cvg_15.7_tip_1 7115 7137
22525128_length_7168_cvg_14.2_tip_1 1 32
22525870_length_7185_cvg_13.2_tip_1 7166 7185
22527224_length_7217_cvg_17.9_tip_1 1 19
22528776_length_7253_cvg_14.3_tip_1 7227 7253
22530278_length_7287_cvg_17.9_tip_1 7260 7287
22532326_length_7336_cvg_16.2_tip_1 7310 7336
22534068_length_7377_cvg_17.1_tip_1 7356 7377
22535230_length_7406_cvg_15.6_tip_1 7381 7406
22537438_length_7460_cvg_17.3_tip_1 1 27
22539802_length_7514_cvg_12.9_tip_1 1 26
22542032_length_7571_cvg_15.8_tip_1 7542 7571
22544068_length_7619_cvg_14.9_tip_1 1 26
22545314_length_7652_cvg_17.6_tip_1 1 22
22546850_length_7692_cvg_14.6_tip_1 1 27
